item
Colombian coffee
Instant coffee
Instant ramen
Peanut butter
Oatmeal
Snickers bar
Bar soap 
Shampoo
Toothpaste
Deodorant stick
Body lotion
Men's boxer briefs
Women's sweatpants
White crew socks
Basic white t-shirt
