year,category,cpi_category,item_name,size,price,essential_status,yoy_inflation_pct,cumulative_inflation_pct
2025,CONDIMENTS,Food at home,Salsa-Medium,15 oz,4.5,essential,0.0,50.0
2025,CANDY,Food at home,Rainbow Fruit Stick,1 oz,0.15,non-essential,0.0,49.99999999999999
2025,CANDY,Food at home,EK Peppermint Stick,1 oz,0.15,non-essential,0.0,49.99999999999999
2025,ELECTRICAL,Recreation,Coax Cable,,2.0,non-essential,0.0,48.14814814814814
2025,ART SUPPLIES,Recreation,Adult Coloring Book (50 pg),,6.5,non-essential,36.84210526315789,44.44444444444444
2025,HYGIENE,Personal care,Ad Seg Colgate,1 oz,1.0,essential,0.0,42.85714285714287
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Diamode-Anti Diarrheal,6 pks,1.35,essential,3.84615384615385,42.105263157894754
2025,SNACKS,Food at home,Spicy Pork Skins,2.75 oz,1.2,non-essential,0.0,41.17647058823529
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Tolnaftate Antifungal Cream-.5 oz,,1.2,essential,0.0,41.17647058823529
2025,FEMALE ONLY,Personal care,Hair Dryer-1600 Watts,,31.0,non-essential,0.0,40.909090909090914
2025,INSTANT FOODS,Food at home,Pasta - Instant,9 oz,2.6,essential,0.0,40.54054054054054
2025,FEMALE ONLY,Personal care,Ponytail Holders,10 pk,1.4,non-essential,16.666666666666664,39.99999999999999
2025,KOSHER ITEMS,Food at home,Matzo Crackers,10 oz,4.5,essential,55.172413793103445,38.46153846153847
2025,SHOES,Apparel,Shower Shoes,,8.625,essential,-4.166666666666666,38.0
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Pepto Bismuth,30 tabs,2.75,essential,10.0,37.5
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Aspirin Free-APAP,24 tabs,1.65,essential,0.0,37.5
2025,CONDIMENTS,Food at home,Salt/Pepper Shaker,4.5 oz,1.85,essential,0.0,37.03703703703704
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-E 200 IU,100 tabs,4.5,essential,60.71428571428572,34.32835820895522
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Nasacort Nasal Spray,,20.0,essential,0.0,33.33333333333333
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Fiber Lax,90 tabs,7.0,essential,0.0,33.33333333333333
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-Multi No Iron,100 tabs,3.0,essential,15.38461538461538,30.43478260869566
2025,ART SUPPLIES,Recreation,Watercolor Pad,9x12,6.75,non-essential,22.727272727272727,28.57142857142857
2025,CONDIMENTS,Food at home,Non-Dairy Creamer,12 oz,1.85,essential,0.0,27.586206896551737
2025,INSTANT FOODS,Food at home,Cereal-Assorted Flavors,20 oz,4.05,essential,-14.736842105263165,26.56249999999999
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-Amino Acid,100 tabs,5.95,essential,6.25000000000001,25.26315789473685
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Loratadine Allergy,30 tabs,2.5,essential,0.0,25.0
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Hydrocortisone Cream,1 oz,1.85,essential,0.0,23.33333333333334
2025,FEMALE ONLY,Personal care,Maxi Pads,22 ct,3.0,essential,0.0,22.448979591836725
2025,JEWELRY / RELIGIOUS,Other goods,Medallions,,14.125,non-essential,0.0,21.50537634408602
2025,ELECTRICAL,Recreation,Multi Outlet (2 plug),,9.0,non-essential,0.0,20.0
2025,HYGIENE,Personal care,Pocket Comb,,0.3,essential,0.0,20.0
2025,MALE ONLY,Personal care,Mennen Antiperspirant,3 oz,3.0,essential,22.448979591836725,20.0
