item_id,item_name,year,increase_pct,next_year_decrease_pct,price_before,price_after,category
Boxer Shorts|,Boxer Shorts,2024,78.46153846153845,-5.74712643678161,8.7,8.2,CLOTHING
EK Columbian Coffee|4.5 oz,EK Columbian Coffee,2023,80.0,-7.77777777777777,4.5,4.15,INSTANT DRINK MIX
EK Plantation Coffee|4.5 oz,EK Plantation Coffee,2023,81.8181818181818,-27.500000000000004,2.0,1.45,INSTANT DRINK MIX
Hat-White Solid|,Hat-White Solid,2022,100.0,-70.0,2.5,0.75,JEWELRY / RELIGIOUS
Refried Beans-Instant|15 oz,Refried Beans-Instant,2023,69.81132075471699,-48.88888888888889,4.5,2.3,INSTANT FOODS
