item_id,item_name,year,cumulative_inflation_pct,price,category,issue_type
Afta After Shave|3 oz,Afta After Shave,2025,650.0,4.5,HYGIENE,extreme_cumulative_inflation
Eyeliner/Brow Pencil-.05 oz|,Eyeliner/Brow Pencil-.05 oz,2025,650.0,5.25,FEMALE ONLY,extreme_cumulative_inflation
Foundation-Asst Shades|1 oz,Foundation-Asst Shades,2025,1971.428571428572,14.5,FEMALE ONLY,extreme_cumulative_inflation
