metric,essential,non_essential,difference
mean,56.74009764747931,94.60277819477704,-37.862680547297735
median,39.5010395010395,25.038402457757293,14.462637043282207
std,83.21447424551643,271.5164332540017,
min,-28.846153846153843,-47.5,
max,650.0,1971.428571428572,
q25,16.175048355899413,9.09090909090908,
q75,70.29042386185245,75.11609907120744,
pct_over_50,44.565217391304344,36.206896551724135,
pct_negative,8.695652173913043,5.172413793103448,
