item_id,item_name,size,category,cpi_category,essential_status,num_years,mean_yoy_pct,median_yoy_pct,std_yoy_pct,max_yoy_pct,min_yoy_pct,num_positive_years,num_significant_increases,consistency_score,years_in_top_percentile,volatility_cv,trend_type,cumulative_inflation_pct
Radio/Clock-Clear Tech|,Radio/Clock-Clear Tech,,ELECTRICAL,Recreation,non-essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Rainbow Fruit Stick|1 oz,Rainbow Fruit Stick,1 oz,CANDY,Food at home,non-essential,6,8.333333333333332,0.0,18.633899812498246,49.99999999999999,0.0,1,1,0.16666666666666666,1,2.23606797749979,volatile,49.99999999999999
Razor Disposable|10 pk,Razor Disposable,10 pk,HYGIENE,Personal care,essential,6,16.278069756330623,0.0,36.599587287452344,76.9230769230769,-31.428571428571438,2,2,0.3333333333333333,2,2.2483984793847305,volatile,84.6153846153846
Refried Beans-Instant|15 oz,Refried Beans-Instant,15 oz,INSTANT FOODS,Food at home,essential,6,15.023019690056321,6.666666666666665,39.17952778914259,69.81132075471699,-48.88888888888889,3,3,0.5,3,2.607966214347397,volatile,53.33333333333332
Salsa-Medium|15 oz,Salsa-Medium,15 oz,CONDIMENTS,Food at home,essential,6,7.5,0.0,10.70436048222094,25.0,0.0,2,2,0.3333333333333333,2,1.4272480642961254,volatile,50.0
Salt/Pepper Shaker|4.5 oz,Salt/Pepper Shaker,4.5 oz,CONDIMENTS,Food at home,essential,6,5.832269050659856,0.0,10.097659149220044,27.586206896551737,0.0,2,1,0.3333333333333333,1,1.7313431636144438,volatile,37.03703703703704
Sandwich Spread|15 oz,Sandwich Spread,15 oz,CONDIMENTS,Food at home,essential,6,9.523809523809527,0.0,21.295885499998004,57.14285714285716,0.0,1,1,0.16666666666666666,1,2.23606797749979,volatile,57.14285714285716
Sensodyne Toothpaste|4 oz,Sensodyne Toothpaste,4 oz,HYGIENE,Personal care,essential,6,8.782051282051283,3.8461538461538463,10.17697605144135,25.0,0.0,3,2,0.5,3,1.1588381489232487,volatile,61.53846153846154
Shampoo|15 oz,Shampoo,15 oz,HYGIENE,Personal care,essential,6,1.6161103047895502,0.961538461538458,1.7448635471394818,4.000000000000004,0.0,3,0,0.5,0,1.0796685980952876,volatile,10.0
Shower Shoes|,Shower Shoes,,SHOES,Apparel,essential,6,5.76984126984127,6.0,7.325143162300552,14.285714285714285,-4.166666666666666,3,3,0.5,3,1.2695571367948688,volatile,38.0
Simethicone Anti/Gas|36 tabs,Simethicone Anti/Gas,36 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,21.30392755392755,0.0,63.862379028906965,162.5,-26.984126984126988,1,1,0.16666666666666666,1,2.997681008220168,spiker,76.9230769230769
Socks|,Socks,,CLOTHING,Apparel,essential,6,1.7460317460317445,0.0,5.4340453233726,9.999999999999991,-6.666666666666672,2,0,0.3333333333333333,1,3.112225957931583,volatile,9.999999999999991
Spicy Pork Skins|2.75 oz,Spicy Pork Skins,2.75 oz,SNACKS,Food at home,non-essential,6,6.171310629514964,2.631578947368424,7.501096433271321,20.0,0.0,3,2,0.5,2,1.2154786695384465,volatile,41.17647058823529
Sports Bra|,Sports Bra,,FEMALE ONLY,Personal care,essential,6,-4.513888888888888,0.0,10.093362398436549,0.0,-27.08333333333333,0,0,0.0,0,2.2360679774997894,volatile,-27.08333333333333
Stamps-Assorted|,Stamps-Assorted,,CORRESPONDENCE,Recreation,essential,6,8.803355421177043,10.85396443059983,6.531134343494046,15.648286140089414,0.0,4,4,0.6666666666666666,4,0.7418914755824783,volatile,64.08345752608048
Stevia Sweetener|,Stevia Sweetener,,CONDIMENTS,Food at home,essential,6,0.6647673314339958,0.0,3.4214403674552343,7.692307692307682,-3.703703703703707,1,0,0.16666666666666666,0,5.146823867043391,volatile,3.7037037037036895
"Storage Box-14""x8""x8""|","Storage Box-14""x8""x8""",,FEMALE ONLY,Personal care,non-essential,6,18.06257014590348,11.363636363636363,19.50847872960949,48.14814814814815,0.0,3,3,0.5,3,1.0800499913371375,volatile,150.0
Stuffed Chicken|12 oz,Stuffed Chicken,12 oz,KOSHER ITEMS,Food at home,essential,6,7.755656108597286,2.0,11.107449876693218,30.76923076923077,0.0,3,2,0.5,2,1.4321741089551931,volatile,52.0
Sugar Free Hot Chocolate|,Sugar Free Hot Chocolate,,INSTANT DRINK MIX,Food at home,essential,6,-0.03743635819107697,0.0,15.186012441111592,26.19047619047618,-26.41509433962264,1,1,0.16666666666666666,1,405.64876432695337,volatile,-7.1428571428571495
Swintec Printwheel-Pica|,Swintec Printwheel-Pica,,ELECTRICAL,Recreation,non-essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
