year,level,avg_price,yoy_inflation_pct,cumulative_inflation_pct
2019,overall,5.359093959731544,,0.0
2020,overall,5.379731543624161,0.3850946456190034,0.3850946456190034
2021,overall,6.451677852348994,19.925646847476248,20.387474092209832
2022,overall,6.8225,5.747685425985627,27.306967395319997
2023,overall,7.090999999999999,3.935507511909117,32.31714266034651
2024,overall,7.428033333333333,4.752973252479669,38.606141059438144
2025,overall,7.721700000000001,3.953491502910172,44.085923068734715
