year,category,cpi_category,avg_price,yoy_inflation_pct,cumulative_inflation_pct
2019,ART SUPPLIES,Recreation,2.65,,0.0
2019,CANDY,Food at home,0.975,,0.0
2019,CLOTHING,Apparel,4.325,,0.0
2019,CONDIMENTS,Food at home,1.7100000000000002,,0.0
2019,CORRESPONDENCE,Recreation,1.30875,,0.0
2019,ELECTRICAL,Recreation,20.77777777777778,,0.0
2019,FEMALE ONLY,Personal care,8.188333333333334,,0.0
2019,GAMES,Recreation,5.75,,0.0
2019,HYGIENE,Personal care,1.5795454545454546,,0.0
2019,ICE CREAM,Food at home,2.25,,0.0
2019,INSTANT DRINK MIX,Food at home,1.4874999999999998,,0.0
2019,INSTANT FOODS,Food at home,2.1833333333333336,,0.0
2019,JEWELRY / RELIGIOUS,Apparel,9.925,,0.0
2019,KOSHER ITEMS,Food at home,4.45,,0.0
2019,MALE ONLY,Personal care,6.0,,0.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,2.7596774193548383,,0.0
2019,PACKAGED MEAT,Food at home,1.45,,0.0
2019,SHOES,Apparel,6.25,,0.0
2019,SNACKS,Food at home,0.85,,0.0
2019,SODAS,Food at home,0.55,,0.0
2020,ART SUPPLIES,Recreation,2.73125,3.0660377358490667,3.0660377358490667
2020,CANDY,Food at home,1.0166666666666668,4.273504273504292,4.273504273504292
2020,CLOTHING,Apparel,4.85,12.138728323699409,12.138728323699409
2020,CONDIMENTS,Food at home,1.72,0.5847953216374144,0.5847953216374144
2020,CORRESPONDENCE,Recreation,1.29,-1.4326647564469948,-1.4326647564469948
2020,ELECTRICAL,Recreation,20.82361111111111,0.22058823529410512,0.22058823529410512
2020,FEMALE ONLY,Personal care,8.413333333333334,2.747811927539177,2.747811927539177
2020,GAMES,Recreation,6.5,13.043478260869565,13.043478260869565
2020,HYGIENE,Personal care,1.8499999999999999,17.12230215827337,17.12230215827337
2020,ICE CREAM,Food at home,2.35,4.444444444444448,4.444444444444448
2020,INSTANT DRINK MIX,Food at home,1.5,0.8403361344537936,0.8403361344537936
2020,INSTANT FOODS,Food at home,2.216666666666667,1.5267175572519027,1.5267175572519027
2020,JEWELRY / RELIGIOUS,Apparel,10.175,2.5188916876574305,2.5188916876574305
2020,KOSHER ITEMS,Food at home,4.833333333333333,8.614232209737818,8.614232209737818
2020,MALE ONLY,Personal care,6.0,0.0,0.0
2020,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,2.3383333333333325,-15.267874537307637,-15.267874537307637
2020,PACKAGED MEAT,Food at home,1.6,10.344827586206906,10.344827586206906
2020,SHOES,Apparel,6.25,0.0,0.0
2020,SNACKS,Food at home,0.95,11.764705882352938,11.764705882352938
2020,SODAS,Food at home,0.55,0.0,0.0
2021,ART SUPPLIES,Recreation,3.03125,10.983981693363837,14.386792452830194
2021,CANDY,Food at home,1.0166666666666668,0.0,4.273504273504292
2021,CLOTHING,Apparel,5.475,12.886597938144332,26.58959537572253
2021,CONDIMENTS,Food at home,1.7200000000000002,1.2909570053780891e-14,0.5847953216374274
2021,CORRESPONDENCE,Recreation,1.2916666666666667,0.12919896640827172,-1.305316778096148
2021,ELECTRICAL,Recreation,28.381944444444443,36.29693857133329,36.59759358288769
2021,FEMALE ONLY,Personal care,9.183333333333334,9.152139461172736,12.151434968451037
2021,GAMES,Recreation,6.5,0.0,13.043478260869565
2021,HYGIENE,Personal care,1.8782608695652172,1.5276145710928293,18.911479512042526
2021,ICE CREAM,Food at home,2.35,0.0,4.444444444444448
2021,INSTANT DRINK MIX,Food at home,1.5,0.0,0.8403361344537936
2021,INSTANT FOODS,Food at home,2.2666666666666666,2.255639097744353,3.8167938931297574
2021,JEWELRY / RELIGIOUS,Apparel,10.675,4.914004914004914,7.556675062972292
2021,KOSHER ITEMS,Food at home,4.916666666666667,1.7241379310344953,10.486891385767793
2021,MALE ONLY,Personal care,4.483333333333333,-25.27777777777778,-25.27777777777778
2021,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,2.61,11.61796151104779,-5.423728813559315
2021,PACKAGED MEAT,Food at home,1.6,0.0,10.344827586206906
2021,SHOES,Apparel,6.25,0.0,0.0
2021,SNACKS,Food at home,1.0,5.263157894736848,17.647058823529417
2021,SODAS,Food at home,0.55,0.0,0.0
2022,ART SUPPLIES,Recreation,3.0374999999999996,0.20618556701029758,14.622641509433954
2022,BEVERAGES,Food at home,0.55,,
2022,CANDY,Food at home,1.0250000000000001,0.8196721311475379,5.128205128205144
2022,CLOTHING,Apparel,5.35,-2.2831050228310503,23.699421965317903
2022,CONDIMENTS,Food at home,1.9300000000000002,12.209302325581392,12.865497076023388
2022,CORRESPONDENCE,Recreation,1.383333333333333,7.096774193548361,5.698822031200229
2022,ELECTRICAL,Recreation,29.08611111111111,2.4810374357719565,39.986631016042764
2022,FEMALE ONLY,Personal care,9.65,5.081669691470055,17.85060044779156
2022,GAMES,Recreation,8.0,23.076923076923077,39.130434782608695
2022,HYGIENE,Personal care,2.0347826086956524,8.333333333333357,28.820769471379432
2022,ICE CREAM,Food at home,2.35,0.0,4.444444444444448
2022,INSTANT DRINK MIXES,Food at home,1.9125,,
2022,INSTANT FOODS,Food at home,2.716666666666667,19.852941176470594,24.427480916030525
2022,JEWELRY / RELIGIOUS,Apparel,11.075,3.747072599531602,11.586901763224166
2022,KOSHER ITEMS,Food at home,5.583333333333333,13.55932203389829,25.468164794007482
2022,MALE ONLY,Personal care,4.2,-6.31970260223048,-30.0
