year,essential_mean,non_essential_mean,difference
2019,0.0,0.0,0.0
2020,3.2382269089796734,17.17584384596728,-13.937616936987606
2021,7.428759165676464,34.28274354249385,-26.853984376817383
2022,22.116833293652473,48.23660664284492,-26.119773349192446
2023,35.091793011412726,73.78688973257097,-38.695096721158244
2024,45.86277148117577,86.38546095283442,-40.52268947165865
2025,56.74009764747931,94.60277819477704,-37.862680547297735
