item_category,item_name,item_price,price_per_unit,price_per_unit_type,item_size
Creamy Peanut Butter,Nutella Hazelnut Spread with Cocoa,0.36,0.36,oz,26.5 oz
Creamy Peanut Butter,Justin's Vanilla Almond Butter,1.29,1.29,oz,1.15 oz
Creamy Peanut Butter,Artisana Organics Raw Coconut Butter,0.85,0.85,oz,14 oz
Creamy Peanut Butter,Justin's Maple Almond Butter,0.86,0.86,oz,16 oz
Creamy Peanut Butter,Justin's Maple Almond Butter,1.29,1.29,oz,1.15 oz
Creamy Peanut Butter,H-E-B Creamy Almond Butter – Dark Chocolate,0.44,0.44,oz,16 oz
Creamy Peanut Butter,Justin's Chocolate Hazelnut Butter Blend,0.86,0.86,oz,16 oz
Creamy Peanut Butter,Smucker's Goober Peanut Butter & Strawberry Jelly Stripes,0.22,0.22,oz,18 oz
Creamy Peanut Butter,Barney Butter Bare Smooth Almond Butter,1.3,1.3,oz,0.6 oz
Creamy Peanut Butter,Barney Butter Bare Smooth Almond Butter,0.7,0.7,oz,10 oz
Creamy Peanut Butter,Barney Butter Almond Butter - Cocoa + Coconut,0.7,0.7,oz,10 oz
Creamy Peanut Butter,Nutella & Go! Hazelnut Spread + Pretzel Sticks,1.31,1.31,oz,1.9 oz
Creamy Peanut Butter,H-E-B No Sugar Added Creamy Almond Butter – Texas Size Pack,0.41,0.41,oz,32 oz
Creamy Peanut Butter,Nutella Hazelnut Spread with Cocoa,0.39,0.39,oz,7.7 oz
Creamy Peanut Butter,PBfit Classic Roasted Peanut Butter Powder,0.52,0.52,oz,24 oz
Creamy Peanut Butter,H-E-B Creamy Creations No Sugar Added Light Ice Cream - Peanut Butter Cup,0.11,,,1/2 gal
Creamy Peanut Butter,H-E-B Creamy Almond Butter - Honey,0.44,0.44,oz,16 oz
Creamy Peanut Butter,SunButter Original Sunflower Seed Butter,0.44,0.44,oz,16 oz
Creamy Peanut Butter,Once Again Unsweetened Creamy Cashew Butter,0.73,0.73,oz,16 oz
Creamy Peanut Butter,PBfit Cocoa Roasted Peanut Butter Powder,0.5,0.5,oz,24 oz
Creamy Peanut Butter,Justin's Chocolate Hazelnut & Almond Butter,1.29,1.29,oz,1.15 oz
Creamy Peanut Butter,Justin's Vanilla Almond Butter,0.86,0.86,oz,16 oz
Creamy Peanut Butter,Justin's Classic Almond Butter,1.29,1.29,oz,1.15 oz
Creamy Peanut Butter,Justin's Classic Peanut Butter,0.37,0.37,oz,16 oz
Creamy Peanut Butter,Justin's Honey Peanut Butter Blend,0.37,0.37,oz,16 oz
Creamy Peanut Butter,H-E-B No Sugar Added Creamy Almond Butter,0.27,0.27,oz,16 oz
Creamy Peanut Butter,Peanut Butter & Co. Peanut Butter - Dark Chocolatey Dreams,0.3,0.3,oz,16 oz
Creamy Peanut Butter,Barney Butter Smooth Almond Butter,0.7,0.7,oz,10 oz
Creamy Peanut Butter,H-E-B Creamy Almond Butter – Vanilla,0.44,0.44,oz,16 oz
Tampons,"Playtex Sport Tampons Multipack - Regular & Super, Unscented",0.21,0.21,ct,48 ct
Tampons,Tampax Pearl Tampons - Regular Super & Super Plus,0.24,0.24,ct,47 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Absorbency Multipack,0.17,0.17,ct,36 ct
Tampons,"Tampax Pearl Tampons Trio Pack, Super/Super Plus/Ultra Unscented",0.26,0.26,ct,34 ct
Tampons,Tampax Pearl Tampons Regular Unscented,0.25,0.25,ct,36 ct
Tampons,"Tampax Pearl Tampons Super Absorbency, Unscented",0.25,0.25,ct,36 ct
Tampons,"Playtex Sport Tampons - Super, Unscented",0.22,0.22,ct,36 ct
Tampons,"Tampax Pearl Tampons Trio Pack, Light/Regular/Super Absorbency, Unscented",0.26,0.26,ct,34 ct
Tampons,L. Cotton Tampons Regular/Super Absorbency Multipack,0.36,0.36,ct,30 ct
Tampons,"Playtex Sport Tampons Multipack - Regular & Super, Unscented",0.25,0.25,ct,32 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Regular Absorbency,0.18,0.18,ct,20 ct
Tampons,"Tampax Pearl Tampons Duo Pack, Regular/Super Absorbency, Unscented",0.26,0.26,ct,34 ct
Tampons,"Tampax Radiant Tampons Regular Absorbency, Unscented",0.41,0.41,ct,14 ct
Tampons,L. Organic Cotton Tampons Super Absorbency,0.36,0.36,ct,30 ct
Tampons,U By Kotex Click Multipack Compact Tampons,0.22,0.22,ct,45 ct
Tampons,"Playtex Sport Tampons - Ultra, Unscented",0.22,0.22,ct,36 ct
Tampons,"Tampax Radiant Tampons Super Absorbency, Unscented",0.41,0.41,ct,14 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Super Absorbency,0.2,0.2,ct,18 ct
Tampons,"Playtex Sport Tampons - Super Plus, Unscented",0.22,0.22,ct,36 ct
Tampons,L. Cotton Tampons Light/Regular Absorbency Multipack,0.36,0.36,ct,30 ct
Tampons,"Playtex Sport Tampons - Regular, Unscented",0.22,0.22,ct,36 ct
Tampons,"Tampax Radiant Tampons Trio Pack, Regular/Super/Super Plus Unscented",0.32,0.32,ct,28 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Super Plus Absorbency,0.17,0.17,ct,36 ct
Tampons,"Tampax Pearl Tampons Ultra Absorbency, Unscented",0.28,0.28,ct,18 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Regular Absorbency,0.17,0.17,ct,36 ct
Tampons,L. Cotton Tampons - Regular Absorbency,0.36,0.36,ct,30 ct
Tampons,"Tampax Pearl Tampons Super Plus Absorbency, Unscented",0.25,0.25,ct,36 ct
Tampons,"Tampax Pearl Tampons, Regular Absorbency, Unscented",0.28,0.28,ct,18 ct
Tampons,U By Kotex Click Compact Regular Tampons,0.24,0.24,ct,32 ct
Tampons,U By Kotex Click Multipack Compact Tampons,0.26,0.26,ct,30 ct
Tampons,U By Kotex Click Compact Super Tampons,0.28,0.28,ct,16 ct
Tampons,U By Kotex Click Multipack Compact Tampons,0.26,0.26,ct,30 ct
Tampons,Tampax Pearl Pocket Tampons Super,0.31,0.31,ct,16 ct
Tampons,U By Kotex Click Compact Super Plus Tampons,0.28,0.28,ct,16 ct
Tampons,Tampax Pearl Leakguard Protection Tampons - Ultra,0.28,0.28,ct,32 ct
Tampons,"Tampax Pearl Tampons Multipack, with LeakGuard Braid, Regular/Super/Super Plus Absorbency, Unscented, 34 Count",0.25,0.25,ct,34 ct
Tampons,Tampax Pearl Leakguard Protection Tampons Unscented - Super,0.28,0.28,ct,18 ct
Tampons,"Tampax Pearl Tampons, Super Plus Absorbency, Unscented",0.28,0.28,ct,18 ct
Tampons,U By Kotex Click Compact Super Tampons,0.24,0.24,ct,32 ct
Tampons,Tampax Pocket Radiant Compact Tampons - Regular,0.36,0.36,ct,14 ct
Tampons,Tampax Radiant Pocket Tampons - Regular/Super,0.32,0.32,ct,28 ct
Tampons,"Tampax Radiant Tampons Super Plus Absorbency, Unscented",0.41,0.41,ct,14 ct
Tampons,U by Kotex Click Compact Tampons - Regular/Super,0.38,0.38,ct,15 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Super Absorbency,0.17,0.17,ct,36 ct
Tampons,Tampax Pearl Leakguard Protection Tampons - Super & Ultra,0.26,0.26,ct,56 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Super Plus Absorbency,0.2,0.2,ct,18 ct
Tampons,"Tampax Radiant Tampons Pack - Regular, Super & Super Plus",0.28,0.28,ct,52 ct
Tampons,"Playtex Sport Tampons MultiPack - Regular, Super & Super Plus,Unscented",0.25,0.25,ct,32 ct
Tampons,Lola Organic Cotton Tampons - Regular & Super,0.49,0.49,ct,20 ct
Tampons,Cora The Comfort Fit Organic Cotton Tampons - Regular & Super Multipack,0.34,0.34,ct,32 ct
Tampons,August Organic Cotton Tampons Regular,0.5,0.5,ct,16 ct
Tampons,"Tampax Radiant Tampons Duo Pack, Regular/Super Absorbency, Unscented",0.32,0.32,ct,28 ct
Tampons,H-E-B Plastic Applicator Unscented Tampons – Light Absorbency,0.17,0.17,ct,36 ct
Tampons,Tampax Radiant Pocket Compact Tampons - Super,0.36,0.36,ct,14 ct
Tampons,U By Kotex Click Compact Super Plus Tampons,0.24,0.24,ct,32 ct
Headphones,Biconic Superior Stereo Headphones - Red & Black,9.98,,,
Headphones,Bionic Wired Headphones,9.98,,,
Headphones,Bytech Wireless Headphones - Black,14.98,,,
Headphones,Bytech Stereo Earbuds - Rose Gold,4.98,,,
Headphones,Bytech Universal Wireless Earbuds with Mic - Black,9.98,,,
Headphones,Bytech Wireless Sport Earbuds - Red & Black,9.98,,,
Headphones,Bytech Wireless Sport Earbuds - Black,9.98,,,each
Headphones,Helix Lil' Jams Kids Headphones - Blue,19.98,,,
Headphones,Helix Lil' Jams Kids Headphones - White,19.98,,,
Headphones,Helix ProJammers Kids Headphones - Gray & Teal,19.98,,,
Headphones,Helix JamWireless Kids Bluetooth Headphones - Blue,19.98,,,
Headphones,Helix Lil' Jams Kids Headphones - Pink,19.98,,,
Headphones,Helix ProJammers Kids Headphones - White & Gray,19.98,,,
Headphones,Helix JamWireless Kids Bluetooth Headphones - Purple,19.98,,,
Headphones,Helix JamWireless Kids Bluetooth Headphones - White,19.98,,,
Headphones,Helix Pro Wireless Foldable Bluetooth Headphones - Green,19.98,,,
Headphones,Helix Pro Wireless Foldable Bluetooth Headphones - Gray,19.98,,,
Headphones,Helix Pro Wireless Foldable Bluetooth Headphones - Black,19.98,,,
Headphones,Biconic Lightning Stereo Earbuds - White,29.98,,,
Headphones,Helix Ultra Lightning Earbuds - Black,29.98,,,
Headphones,Helix JamWireless Kids Earbuds - Purple,24.98,,,
Headphones,Helix JamWireless Kids Earbuds - White,24.98,,,
Headphones,Helix JamWireless Kids Earbuds - Blue,24.98,,,
Headphones,Helix Ultra Lightning Earbuds - White,29.98,,,
Headphones,Helix Ultra 3.5mm Aux Earbuds,9.98,,,
Headphones,Helix Audioflex Sweatsound Bluetooth Earbuds - Black,19.98,,,
Headphones,Helix Ultra USB-C Earbuds - Black,24.98,,,
Headphones,Helix Ultra USB-C Earbuds - White,24.98,,,
Headphones,Biconic Orbit True Wireless Earbuds - Purple,14.98,,,
Headphones,Helix Ultra 3.5mm Aux Earbuds - Black,9.98,,,
Headphones,iHome XT-12 True Wireless Earbuds - Red,19.98,,,
Headphones,Helix True Wireless High Fidelity Earbuds - Black,19.98,,,
Headphones,Helix True Wireless High Fidelity Earbuds - White,19.98,,,
Headphones,Helix True Wireless High Fidelity Earbuds - Black,19.98,,,
Headphones,Helix True Wireless High Fidelity Earbuds - White,19.98,,,
Headphones,Helix True Wireless High Fidelity Earbuds - Black,14.98,,,
Headphones,Hot Focus Vibe Buds Wireless Earbuds Kit,15.97,,,
Headphones,Biconic Orbit True Wireless Earbuds - Iridescent White,14.98,,,
Headphones,Helix Share Audio 5-Port Headphone Splitter - White,14.98,,,
Colgate Toothpaste,"Colgate Total Toothpaste - Whitening, 2pk",0.78,0.78,oz,5.1 oz
Colgate Toothpaste,"Colgate Optic White Advanced Toothpaste - Sparkling White, 2 Pk",1.56,1.56,oz,6.4 oz
Colgate Toothpaste,Colgate Optic White Advanced Anticavity Toothpaste - Sparkling White,1.86,1.86,oz,3.2 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste - Cool Mint,0.63,0.63,oz,6.3 oz
Colgate Toothpaste,"Colgate Cavity Protection Anticavity Toothpaste, 2 Pk",0.37,0.37,oz,12 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste - Mint Fusion,0.63,0.63,oz,6.3 oz
Colgate Toothpaste,"Colgate Max Fresh Anticavity Toothpaste - Clean Mint, 3 Pk",0.42,0.42,oz,18.9 oz
Colgate Toothpaste,Colgate Baking Soda & Peroxide Whitening Brisk Mint,0.36,0.36,oz,8 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste - Clean Mint,0.63,0.63,oz,6.3 oz
Colgate Toothpaste,Colgate Total Toothpaste - Whitening,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,Colgate Max Fresh Whitening Anticavity Toothpaste - Cool Mint,0.42,0.42,oz,3 pk
Colgate Toothpaste,Colgate Cavity Protection Toothpaste,0.37,0.37,oz,8 oz
Colgate Toothpaste,Colgate Cavity Protection Anticavity Toothpaste,0.49,0.49,oz,4 oz
Colgate Toothpaste,Colgate Sensitive Complete Protection Anticavity Toothpaste - Mint Clean,0.83,0.83,oz,6 oz
Colgate Toothpaste,Colgate Baking Soda & Peroxide Whitening Anticavity Toothpaste - Brisk Mint,0.49,0.49,oz,4 oz
Colgate Toothpaste,Colgate Total Toothpaste - Deep Clean,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,Colgate Total Gel Toothpaste - Fresh Mint,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,"Colgate Total Gel Toothpaste - Fresh Mint Stripe, 2 Pk",0.78,0.78,oz,10.2 oz
Colgate Toothpaste,Colgate Optic White Anticavity Toothpaste - Fresh Mint Gel,0.95,0.95,oz,4.2 oz
Colgate Toothpaste,Colgate Cavity Protection Anticavity Toothpaste 3 pk,0.28,0.28,oz,18 oz
Colgate Toothpaste,Colgate Max Fresh + Charcoal Anticavity Toothpaste - Charcoal Mint,0.63,0.63,oz,6.3 oz
Colgate Toothpaste,Colgate Total Toothpaste - Clean Mint,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste - Cool Mint,0.86,,,4.6 oz
Colgate Toothpaste,Colgate Optic White Anticavity Toothpaste - Clean Mint,0.83,0.83,oz,6 oz
Colgate Toothpaste,Hill Country Essentials Travel Size Toothbrush With Colgate Toothpaste - Assorted,0.69,0.69,ct,
Colgate Toothpaste,"Colgate Total Toothpaste - Whitening, 3pk",3.43,3.43,ct,5.1 oz
Colgate Toothpaste,Colgate Optic White Anticavity Toothpaste - Clean Mint,0.95,0.95,oz,4.2 oz
Colgate Toothpaste,Colgate Total Gel Toothpaste - Whitening,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,"Colgate Total Gel Toothpaste - Whitening, 3pk",3.43,3.43,ct,5.1 oz
Colgate Toothpaste,Colgate Triple Action Toothpaste - Original Mint,0.49,0.49,oz,4 oz
Colgate Toothpaste,Colgate Sensitive Anticavity Toothpaste 2 pk - Fresh Mint,0.75,0.75,oz,12 oz
Colgate Toothpaste,Colgate Sensitive Whitening Anticavity Toothpaste - Mint,0.83,0.83,oz,6 oz
Colgate Toothpaste,Colgate Bluey Cavity Protection Toothpaste - Bubble Fruit,0.75,0.75,oz,4.6 oz
Colgate Toothpaste,Colgate Revitalizing White Anticavity Toothpaste - Fresh Mint,1.19,1.19,oz,4.6 oz
Colgate Toothpaste,Colgate Kids Cavity Protection Toothpaste -  Mild Bubble Fruit,0.9,0.9,oz,4.4 oz
Colgate Toothpaste,Colgate Kids Cavity Protection Toothpaste - Bubble Fruit,0.54,0.54,oz,4.6 oz
Colgate Toothpaste,Colgate Total Plaque Pro Release Toothpaste,1.79,1.79,oz,3 oz
Colgate Toothpaste,Colgate Total Whitening + Charcoal Toothpaste,0.97,0.97,oz,5.1 oz
Colgate Toothpaste,"Colgate Optic White Advanced Toothpaste - Sparkling White, 2 Pk",1.55,1.55,oz,9 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste 2 pk - Clean Mint,0.55,0.55,oz,12.6 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste 2 pk - Cool Mint,0.55,0.55,oz,12 oz
Colgate Toothpaste,Colgate Optic White Renewal Anticavity Toothpaste - High Impact White,2.65,2.65,oz,3 oz
Colgate Toothpaste,Colgate Optic White Renewal Anticavity Toothpaste - Brilliant Shine,2.65,2.65,oz,3 oz
Colgate Toothpaste,Colgate Optic White Pro Series Toothpaste - Stain Prevention,2.16,2.16,oz,2 pk
Colgate Toothpaste,Colgate Optic White Advanced Anticavity Toothpaste - Icy Fresh,1.86,1.86,oz,4.5 oz
Colgate Toothpaste,Colgate Optic White Advanced Anticavity Toothpaste - Icy Fresh,1.86,1.86,oz,3.2 oz
Colgate Toothpaste,Colgate Optic White Advanced Anticavity Toothpaste - Sparkling White,1.86,1.86,oz,4.5 oz
Colgate Toothpaste,Colgate Max Fresh Anticavity Toothpaste - Clean Mint,0.63,0.63,oz,6.3 oz
Colgate Toothpaste,Colgate Optic White Purple Anticavity Toothpaste - Fresh Mint,1.42,1.42,oz,4.2 oz
Colgate Toothpaste,"Colgate Total Toothpaste - Clean Mint, 2pk",0.78,0.78,oz,5.1 oz
Colgate Toothpaste,Colgate Travel Size Optic White Advanced Toothpaste,1.7,1.7,oz,1.45 oz
Colgate Toothpaste,"Colgate Optic White Advanced Anticavity Toothpaste - Icy Fresh, 2 Pk",1.56,1.56,oz,6.4 oz
Colgate Toothpaste,"Colgate Optic White Advanced Anticavity Toothpaste - Icy Fresh, 2 Pk",1.55,1.55,oz,9 oz
Colgate Toothpaste,"Colgate Optic White Advanced Anticavity Toothpaste - Sparkling White, 3 Pk",1.35,1.35,oz,9.6 oz
Colgate Toothpaste,"Colgate Optic White Renewal Anticavity Toothpaste - High Impact White, 2 Pk",2.16,2.16,oz,6 oz
Colgate Toothpaste,Colgate Kids Maximum Cavity Protection Toothpaste - Bubble Fruit,0.9,0.9,oz,4.4 oz
Colgate Toothpaste,Colgate Optic White Sensitivity Relief Anticavity Toothpaste - Clean Mint,0.95,0.95,oz,4.2 oz
Colgate Toothpaste,Colgate Optic White Stain Fighter Whitening Toothpaste - Clean Mint,0.7,0.7,oz,2 pk
Colgate Toothpaste,"Colgate Cavity Protection Triple Action Mint Toothpaste, 6 oz",0.5,0.5,oz,3 pk
Colgate Toothpaste,"Colgate Total Whitening + Charcoal Toothpaste, 2 Pk",0.78,0.78,oz,10.2 oz
Colgate Toothpaste,"Colgate Total Gel Toothpaste - Whitening, 2pk",0.78,0.78,oz,5.1 oz
Colgate Toothpaste,Colgate Optic White Renewal Toothpaste - Brilliant Shine,2.16,2.16,oz,2 pk
Colgate Toothpaste,Colgate Total Gum Protect Whitening Toothpaste,1.79,1.79,oz,3 oz
Colgate Toothpaste,Colgate Sensitive Prevent & Repair Anticavity Toothpaste - Gentle Mint,0.83,0.83,oz,6 oz
Colgate Toothpaste,"Colgate Total Deep Clean Toothpaste, 2 Pk",0.78,0.78,oz,10.2 oz
Colgate Toothpaste,"Colgate Optic White Anticavity Toothpaste - Clean Mint, 2 Pk",0.83,0.83,oz,8.4 oz
Colgate Toothpaste,Colgate Kids Cavity Protection Toothpaste - Bubble Fruit,0.75,0.75,oz,4.6 oz
Colgate Toothpaste,Colgate Optic White Advanced Anticavity Toothpaste - Oxygenating White,1.86,1.86,oz,3.2 oz
Colgate Toothpaste,Colgate Travel Size Max Fresh Anticavity Toothpaste - Cool Mint,0.97,0.97,oz,1 oz
Colgate Toothpaste,Colgate Optic White Pro Series Anticavity Toothpaste - Vividly Fresh,2.65,2.65,oz,3 oz
Colgate Toothpaste,Colgate Optic White Pro Series Anticavity Toothpaste - Stain Prevention,2.65,2.65,oz,3 oz
Colgate Toothpaste,Colgate Optic White with Charcoal Anticavity Toothpaste - Cool Mint,1.42,1.42,oz,4.2 oz
Colgate Toothpaste,Colgate Total Plaque Pro Release Toothpaste - Fresh Mint,1.79,1.79,oz,3 oz
Colgate Toothpaste,Colgate Total Gum Protect Fresh Mint Toothpaste,1.79,1.79,oz,3 oz
Colgate Toothpaste,"Colgate Kids Cavity Protection Toothpaste - Bubble Fruit, 2 Pk",0.31,0.31,oz,9.2 oz
Colgate Toothpaste,Colgate Optic White Stain Fighter Clean Mint Toothpaste,0.95,0.95,oz,4.2 oz
Colgate Toothpaste,Colgate Optic White Advanced Stain Prevention,1.86,1.86,oz,3.2 oz
Colgate Toothpaste,Colgate Minecraft Cavity Protection Bubble Fruit,0.75,0.75,oz,4.6 oz
Colgate Toothpaste,"H-E-B Sensitive Fluoride Toothpaste - Fresh Mint, 2 Pk",0.98,0.98,oz,6.8 oz
Shampoo,L'Oréal Paris Elvive  Total Repair 5 Repairing Shampoo and Conditioner Set,9.48,,,
Shampoo,L'Oréal Paris Elvive Hyaluron + Plump Shampoo & Conditioner,0.4,0.4,oz,25.2 oz
Shampoo,Alberto VO5 Moisturizing Shampoo - Pomegranate Bliss,0.08,,,15 oz
Shampoo,"Dove Coconut & Hydration Shampoo & Conditioner, 2 Pk",0.37,0.37,oz,24 oz
Shampoo,Native Moisturizing Shampoo - Coconut & Vanilla,0.66,0.66,oz,16.5 oz
Shampoo,Garnier Whole Blends Honey Treasures Repairing Shampoo & Conditioner,0.38,0.38,oz,25 oz
Shampoo,Suave Damage Repair Coconut Oil Infusion Shampoo & Conditioner 2 pk,0.16,,,18 oz
Shampoo,Suave Professionals Keratin Infusion Smoothing Shampoo & Conditioner 2 pk,0.16,,,18 oz
Shampoo,Garnier Fructis Pure Clean Purifying Shampoo,0.36,0.36,oz,12.5 oz
Shampoo,Not Your Mother's Tahitian Gardenia Flower & Mango Butter Shampoo,0.5,,,15.2 oz
Shampoo,Pantene Pro-V Smooth & Sleek Shampoo,0.39,0.39,oz,17.9 oz
Shampoo,Garnier Fructis Sleek & Shine Smoothing Shampoo,0.36,0.36,oz,12.5 oz
Shampoo,Suave Essentials Cleansing Shampoo - Daily Clarifying,0.09,0.09,oz,22.5 oz
Shampoo,Pantene Nutrient Blends Moisture Boost  Rose Water Shampoo & Conditioner,0.96,0.96,oz,2 pk
Shampoo,"Dove Shampoo & Conditioner Daily Moisture, 2 Pk",0.37,0.37,oz,24 oz
Shampoo,Native Moisturizing Shampoo - Sweet Peach & Nectar,0.66,0.66,oz,16.5 oz
Shampoo,Mane 'n Tail The Original Shampoo,0.25,0.25,oz,32 oz
Shampoo,TRESemm√© Rich Moisture Shampoo,0.21,0.21,oz,28 oz
Shampoo,Old Spice Shampoo 2in1 Conditioner - Krakengard,0.41,0.41,oz,21.9 oz
Shampoo,Mane 'n Tail Repair 'n Strengthen Shampoo - Cucumber Aloe,0.45,,,20 oz
Shampoo,Paul Mitchell Tea Tree Special Shampoo,1.67,1.67,oz,10.14 oz
Shampoo,Suave Essentials Refreshing Shampoo - Ocean Breeze,0.09,0.09,oz,22.5 oz
Shampoo,It's a 10 Miracle Shampoo Plus Keratin,2.3,2.3,oz,10 oz
Shampoo,Garnier Fructis Sleek & Shine Smoothing Shampoo,0.28,0.28,oz,33.8 oz
Shampoo,Head & Shoulders Dandruff Shampoo - Smooth & Silky,0.56,0.56,oz,12.5 oz
Shampoo,Matrix Biolage Hydrasource Shampoo,1.7,1.7,oz,13.5 oz
Shampoo,TRESemm√© Silky & Smooth Shampoo,0.2,0.2,oz,39 oz
Shampoo,TRESemm√© Rich Moisture Shampoo with Pump,0.2,0.2,oz,39 oz
Shampoo,OGX Thick & Full + Biotin & Collagen Volume Shampoo,0.54,0.54,oz,13 oz
Shampoo,Native Volumizing Shampoo - Cucumber & Mint,0.66,0.66,oz,16.5 oz
Shampoo,Redken All Soft Moisturizing Shampoo,2.67,2.67,oz,10.1 oz
Shampoo,Native Curl Care Shampoo - Coconut Milk & Turmeric,0.66,0.66,oz,16.5 oz
Shampoo,H-E-B Dandruff Shampoo - Dry Scalp Recovery,0.28,0.28,oz,12.5 oz
Shampoo,L'Oréal Paris Elvive Hyaluron + Pure 72hr Purifying Shampoo,0.44,0.44,oz,12.6 oz
Shampoo,Suave Essentials Nourishing Shampoo - Tropical Coconut,0.09,0.09,oz,22.5 oz
Shampoo,Pantene Pro-V Volume & Body Shampoo,0.39,0.39,oz,17.9 oz
Shampoo,Suave Essentials Energizing Shampoo - Strawberry,0.09,0.09,oz,22.5 oz
Shampoo,Garnier Whole Blends Honey Treasures Repairing Shampoo,0.34,0.34,oz,28 oz
Shampoo,Garnier Fructis Grow Strong Fortifying Shampoo,0.36,0.36,oz,12.5 oz
Shampoo,Aussie Miracle Moist Shampoo - Avocado & Jojoba Oil,0.41,0.41,oz,12.1 oz
Shampoo,Pantene Pro-V Daily Moisture Renewal Shampoo,0.36,0.36,oz,27.7 oz
Shampoo,Aussie Miracle Volume Shampoo - Bamboo & Plum,0.3,0.3,oz,26.2 oz
Shampoo,Matrix Biolage Colorlast Shampoo,1.85,1.85,oz,13.5 oz
Shampoo,"Garnier Whole Blends Smoothing Shampoo, Coconut Oil and Cocoa Butter",0.34,0.34,oz,28 oz
Shampoo,Pantene Pro-V Classic Clean Shampoo,0.39,0.39,oz,17.9 oz
Shampoo,Native Strengthening Shampoo - Almond & Shea Butter,0.66,0.66,oz,16.5 oz
Shampoo,Mane 'n Tail Moisture Balance Shampoo - Coconut Milk,0.45,,,20 oz
Shampoo,L'Oréal Paris Ever Pure Clarify Shampoo,1.47,,,6.8 oz
Shampoo,Dove Ultra Care Shampoo - Coconut & Hydration,0.4,0.4,oz,12 oz
Shampoo,Nizoral Anti-Dandruff Shampoo,3.12,3.12,oz,4 oz
Shampoo,CHI Keratin Shampoo,1.33,1.33,oz,12 oz
Shampoo,Pantene Pro-V Daily Moisture Renewal 2 in 1 Shampoo + Conditioner,0.39,0.39,oz,17. 9 oz
Shampoo,Aussie Miracle Moist Shampoo - Avocado & Jojoba Oil,0.3,0.3,oz,26.2 oz
Shampoo,Garnier Whole Blends Illuminating Shampoo - Moroccan Argan & Camellia Oils,0.44,0.44,oz,12.5 oz
Shampoo,Dove Men+Care 2 in 1 Shampoo + Conditioner - Fresh + Clean,0.41,0.41,oz,12 oz
Shampoo,Mane 'n Tail Herbal Gro Shampoo,0.33,0.33,oz,12 oz
Shampoo,Suave 2-in-1 Shampoo and Conditioner - Ocean Charge,0.23,0.23,oz,12.6 oz
Shampoo,Garnier Fructis Pure Clean Purifying Shampoo,0.28,0.28,oz,33.8 oz
Shampoo,L'Oréal Paris EverPure Sulfate Free Purple Shampoo,1.47,,,6.8 oz
Shampoo,"Dove Nutritive Solutions Intensive Repair Shampoo & Conditioner, 2 Pk",0.37,0.37,oz,24 oz
Shampoo,Native Moisturizing Shampoo - Warm Cider & Cinnamon,0.66,0.66,oz,16.5 oz
Shampoo,Dove Damage Therapy Daily Moisture Shampoo,0.4,0.4,oz,12 oz
Shampoo,H-E-B Dandruff Shampoo - Everyday Clean,0.28,0.28,oz,12.5 oz
Shampoo,Maui Moisture Lightweight Hydration + Hibiscus Water Shampoo,0.54,0.54,oz,13 oz
Shampoo,L'Oréal Paris Elvive Hyaluron + Plump 72hr Hydrating Shampoo,0.36,0.36,oz,26.5 oz
Shampoo,Alberto VO5 Moisturizing Shampoo - Strawberries & Cream,0.08,0.08,oz,15 oz
Shampoo,Suave Essentials Softening Shampoo - Wild Cherry Blossom,0.09,0.09,oz,22.5 oz
Shampoo,Suave Invigorating Shampoo - Rosemary and Mint,0.23,0.23,oz,12.6 oz
Shampoo,SheaMoisture Curl and Shine Shampoo - Coconut and Hibiscus,0.83,0.83,oz,13 oz
Shampoo,Herbal Essences Rose Hips Smooth Shampoo,0.34,0.34,oz,29.2 oz
Shampoo,Suave Essentials Energizing Conditioner - Strawberry,0.09,0.09,oz,22.5 oz
Shampoo,VO5 Moisturizing Shampoo - Island Coconut,1.14,,,15 oz
Shampoo,HASK Biotin Boost Thickening Shampoo,0.41,0.41,oz,12 oz
Shampoo,Garnier Fructis Hair Filler Strength Repair Shampoo,0.69,0.69,oz,10.1 oz
Shampoo,Alberto VO5 Extra Body with Collagen Volumizing Shampoo,0.08,0.08,oz,15 oz
Shampoo,Dove Argan Oil & Damage Repair Shampoo,0.4,,,12 oz
Shampoo,Suave Professionals Keratin Infusion Color Care Shampoo,0.23,0.23,oz,12.6 oz
Shampoo,Suave Essentials Softening Conditioner - Wild Cherry Blossom,0.09,0.09,oz,22.5 oz
