year,category,item_name,size,price_min,price_max
2019,ELECTRICAL,Swintec Ribbon-Black,,6.5,6.5
2019,ELECTRICAL,Typewriter-Swintec,,225.0,225.0
2019,ELECTRICAL,Wordsmith Ribbon,,10.5,10.5
2019,FEMALE ONLY,Africa Best Hair Relaxerest,,0.95,0.95
2019,FEMALE ONLY,Always Pantiliners,20 ct,1.35,1.35
2019,FEMALE ONLY,Briefs/Panties,3 pk,6.25,8.0
2019,FEMALE ONLY,Eye Shadow-Asst Colors,,2.5,2.5
2019,FEMALE ONLY,Eyeliner/Brow Pencil-.05 oz,,0.7,0.7
2019,FEMALE ONLY,Foundation-Asst Shades,1 oz,0.7,0.7
2019,FEMALE ONLY,Hair Dryer-1600 Watts,,22.0,22.0
2019,FEMALE ONLY,Hijab-Females Only,,17.0,17.0
2019,FEMALE ONLY,Hygiene Pack,7 piece,24.0,24.0
2019,FEMALE ONLY,Ladies Speed Stick,2.3 oz,2.5,2.5
2019,FEMALE ONLY,Lipstick-Asst Colors,,4.75,4.75
2019,FEMALE ONLY,MakeUp Kit,42 ct,15.0,15.0
2019,FEMALE ONLY,Mascara-Avon/Black-.21 oz,,9.0,9.0
2019,FEMALE ONLY,Maxi Pads,22 ct,2.45,2.45
2019,FEMALE ONLY,Multi Pack Tampons,40 ct,4.75,4.75
2019,FEMALE ONLY,Ogilvie Hair Perm,,10.0,10.0
2019,FEMALE ONLY,Ponytail Holders,10 pk,1.0,1.0
2019,FEMALE ONLY,Sports Bra,,6.0,6.0
2019,FEMALE ONLY,"Storage Box-14""x8""x8""",,16.0,16.0
2019,FEMALE ONLY,Tweezer-Blunt,,0.75,0.75
2019,GAMES,Chess Set,,5.75,5.75
2019,GAMES,Domino Set,,5.75,5.75
2019,HYGIENE,Ad Seg Colgate,1 oz,0.7,0.7
2019,HYGIENE,Ad Seg Shampoo,4 oz,0.55,0.55
2019,HYGIENE,Afta After Shave,3 oz,0.6,0.6
2019,HYGIENE,Aloe Vera Cream,8 oz,0.8,0.8
2019,HYGIENE,Ambi Skin Cream,2 oz,6.75,6.75
2019,HYGIENE,Antibacterial Lotion,4 oz,0.85,0.85
2019,HYGIENE,Antibacterial Soap,1.25 oz,0.15,0.15
2019,HYGIENE,Antifungal Foot Powder,3.5 oz,1.4,1.4
2019,HYGIENE,Baby Powder,15 oz,1.05,1.05
2019,HYGIENE,Baby Shampoo,15 oz,1.25,1.25
2019,HYGIENE,Bergamont-Blue Magic Hair,,1.15,1.15
2019,HYGIENE,Blue Magic Hair Cond,4 oz,1.5,1.5
2019,HYGIENE,Body Lotion,6 oz,0.9,0.9
2019,HYGIENE,Brushless Shave Cream,5 oz,0.8,0.8
2019,HYGIENE,Chap-Et Lip Conditioner,,1.15,1.15
2019,HYGIENE,Cocoa Butter Lotion,8 oz,1.15,1.15
2019,HYGIENE,Colgate Toothpaste,6 oz,2.75,2.75
2019,HYGIENE,Conditioner,15 oz,1.25,1.25
2019,HYGIENE,Cotton Swabs,100 ct,0.55,0.55
2019,HYGIENE,Dandruff Shampoo,12 oz,1.25,1.25
2019,HYGIENE,Dial Soap,1.25 oz,0.2,0.2
2019,HYGIENE,Ebony Silk Hair Food,7 oz,1.6,1.6
2019,HYGIENE,Efferdent,102 tablets,8.0,8.0
2019,HYGIENE,Effergrip Tube,2.5 oz,5.5,5.5
2019,HYGIENE,Hair Brush-No Handle,,0.65,0.65
2019,HYGIENE,Hair Gel,12 oz,1.2,1.2
2019,HYGIENE,Magic Shave Cream,6 oz,4.45,4.45
2019,HYGIENE,Medi/Cleanse Cream,8 oz,1.2,1.2
2019,HYGIENE,Medicated Powder,10 oz,1.25,1.25
2019,HYGIENE,Mouthwash-Alc Free,16 oz,1.15,1.15
2019,HYGIENE,Nail Clippers,,0.3,0.3
2019,HYGIENE,Petroleum Jelly,4 oz,0.75,0.75
2019,HYGIENE,Plackers Dental Floss,50 pk,2.0,2.0
2019,HYGIENE,Pocket Comb,,0.25,0.25
2019,HYGIENE,Pomade Hair Dressing,4 oz,2.0,2.0
2019,HYGIENE,Razor Disposable,10 pk,0.65,0.65
2019,HYGIENE,Sensodyne Toothpaste,4 oz,6.5,6.5
2019,HYGIENE,Shampoo,15 oz,1.25,1.25
2019,HYGIENE,Soap Dish - Plastic,,0.35,0.35
2019,HYGIENE,Sunscreen-SPF,8 oz,4.75,4.75
2019,HYGIENE,Toilet Tissue (roll),,0.5,0.5
2019,HYGIENE,Toothbrush,"3""",0.4,0.4
2019,HYGIENE,Washcloth,,0.95,0.95
2019,ICE CREAM,Blue Bell NoSugar Vanilla,,2.25,2.25
2019,ICE CREAM,Blue Bell Pints- Asst Flavors,,2.25,2.25
2019,ICE CREAM,Blue Bell Pints-Sherbert,,2.25,2.25
2019,ICE CREAM,M&M Ice Cream Sandwich,,1.75,1.75
2019,ICE CREAM,Snickers Ice Cream Cone,,1.75,1.75
2019,INSTANT DRINK MIX,Cappuccino-Asst Flavors,12 oz,1.35,1.35
2019,INSTANT DRINK MIX,EH Milk-Instant Nonfat,4 oz,0.8,0.8
2019,INSTANT DRINK MIX,EK Columbian Coffee,4.5 oz,2.0,2.0
2019,INSTANT DRINK MIX,EK Plantation Coffee,4.5 oz,0.9,0.9
2019,INSTANT DRINK MIX,EK Tea Bags,100 bags,1.65,1.65
