year,category,item_name,size,price_min,price_max
2020,INSTANT FOODS,EH Low Sodium Ramen Noodles,,0.3,0.3
2020,INSTANT FOODS,EH Oatmeal Variety (10 Pk),12.4 oz,1.5,1.5
2020,INSTANT FOODS,EK Potatoes-4 Cheese,4 oz,2.05,2.05
2020,INSTANT FOODS,Pasta - Instant,9 oz,1.8,1.8
2020,INSTANT FOODS,Refried Beans-Instant,15 oz,1.7,1.7
2020,JEWELRY / RELIGIOUS,Hat-White Knitted,,8.0,8.0
2020,JEWELRY / RELIGIOUS,Hat-White Solid,,1.25,1.25
2020,JEWELRY / RELIGIOUS,Medallions,,4.0,19.25
2020,JEWELRY / RELIGIOUS,Medicine Bag,,3.65,3.65
2020,JEWELRY / RELIGIOUS,Prayer Oil,4 oz,20.0,20.0
2020,JEWELRY / RELIGIOUS,Wood Rune Set,,10.0,10.0
2020,KOSHER ITEMS,Cheese Ravioli,12 oz,4.75,4.75
2020,KOSHER ITEMS,Instant Chili w/ Beans,12 oz,1.5,1.5
2020,KOSHER ITEMS,Matzo Crackers,10 oz,3.25,3.25
2020,KOSHER ITEMS,Stuffed Chicken,12 oz,6.5,6.5
2020,MALE ONLY,Hygiene Pack,3 piece,13.0,13.0
2020,MALE ONLY,Mennen Antiperspirant,3 oz,2.5,2.5
2020,MALE ONLY,Mennen Deodorant,3 oz,2.5,2.5
2020,MISCELLANEOUS,Battery AA,,0.4,0.4
2020,MISCELLANEOUS,Bowl - Plastic,,1.0,1.0
2020,MISCELLANEOUS,Commissary Mesh Bag,,3.75,3.75
2020,MISCELLANEOUS,Cooling Towel,,2.0,2.0
2020,MISCELLANEOUS,Ear Plugs,,0.2,0.2
2020,MISCELLANEOUS,Handkerchief,,0.85,0.85
2020,MISCELLANEOUS,ID Badge,,0.65,0.65
2020,MISCELLANEOUS,Jersey Gloves-Cotton,,0.9,0.9
2020,MISCELLANEOUS,Laces-45 inch White,,0.9,0.9
2020,MISCELLANEOUS,Laces-54 inch White,,1.0,1.0
2020,MISCELLANEOUS,Laces-Boot-54 inch Tan,,1.0,1.0
2020,MISCELLANEOUS,Mug - Plastic,,1.1,1.1
2020,MISCELLANEOUS,Padlock w/Key,,13.25,13.25
2020,"OTC MEDICATIONS, VITAMINS, ETC",Acid Reducer 150 mg,24 tabs,1.9,1.9
2020,"OTC MEDICATIONS, VITAMINS, ETC",Acne Benzoyl 10%,1.5 oz,2.45,2.45
2020,"OTC MEDICATIONS, VITAMINS, ETC",Alcalak Antacid,24 tabs,1.1,1.1
2020,"OTC MEDICATIONS, VITAMINS, ETC",Artificial Tears Eye Drops-.5 oz,,1.6,1.6
2020,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin,24 tabs,0.95,0.95
2020,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin Free-APAP,24 tabs,1.1,1.1
2020,"OTC MEDICATIONS, VITAMINS, ETC",Calamine Lotion,6 oz,1.45,1.45
2020,"OTC MEDICATIONS, VITAMINS, ETC",Chlorphen Tabs,24 tabs,0.75,0.75
2020,"OTC MEDICATIONS, VITAMINS, ETC",Clotrimazole Antifungal Cream,,1.1,1.1
2020,"OTC MEDICATIONS, VITAMINS, ETC",Diamode-Anti Diarrheal,6 pks,0.9,0.9
2020,"OTC MEDICATIONS, VITAMINS, ETC",Earwax Drops,15 ml,2.0,2.0
2020,"OTC MEDICATIONS, VITAMINS, ETC",Fiber Lax,90 tabs,4.5,4.5
2020,"OTC MEDICATIONS, VITAMINS, ETC",Hemorrhoid Ointment,2 oz,3.2,3.2
2020,"OTC MEDICATIONS, VITAMINS, ETC",Hydrocortisone Cream,1 oz,1.35,1.35
2020,"OTC MEDICATIONS, VITAMINS, ETC",Ibutab-Ibuprofen,24 tabs,1.55,1.55
2020,"OTC MEDICATIONS, VITAMINS, ETC",Laxative-Bisacodyl,25 tabs,1.1,1.1
2020,"OTC MEDICATIONS, VITAMINS, ETC",Loratadine Allergy,30 tabs,1.9,1.9
2020,"OTC MEDICATIONS, VITAMINS, ETC",Milk Thistle,60 tabs,2.7,2.7
2020,"OTC MEDICATIONS, VITAMINS, ETC",Milk of Magnesia,4 oz,2.2,2.2
2020,"OTC MEDICATIONS, VITAMINS, ETC",Nasacort Nasal Spray,,17.0,17.0
2020,"OTC MEDICATIONS, VITAMINS, ETC",Pepto Bismuth,30 tabs,1.85,1.85
2020,"OTC MEDICATIONS, VITAMINS, ETC",Simethicone Anti/Gas,36 tabs,1.2,1.2
2020,"OTC MEDICATIONS, VITAMINS, ETC",Terbinafine Antifungal Crm-.5 oz,,0.6,0.6
2020,"OTC MEDICATIONS, VITAMINS, ETC",Tolnaftate Antifungal Cream-.5 oz,,0.8,0.8
2020,"OTC MEDICATIONS, VITAMINS, ETC",Triple Antibiotic Ointment,1 oz,1.85,1.85
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Amino Acid,100 tabs,3.75,3.75
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-C500 Complex,100 tabs,2.3,2.3
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Calcium,100 tabs,2.25,2.25
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-E 200 IU,100 tabs,2.65,2.65
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Garlic/Oil,100 tabs,2.25,2.25
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Multi No Iron,100 tabs,1.85,1.85
2020,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Omega,120 tabs,3.1,3.1
2020,OTHER FOOD ITEMS,EK Dill Pickle,15 oz,0.7,0.7
2020,PACKAGED MEAT,EH Chicken Chili w/Beans,8 oz,1.6,1.6
2020,PACKAGED MEAT,EH Chunk Chicken,7 oz,2.55,2.55
2020,PACKAGED MEAT,EH Low Sodium Chili No Beans,8 oz,1.6,1.6
2020,PACKAGED MEAT,EKH Sardines,3.53 oz,0.85,0.85
2020,PACKAGED MEAT,EKH Tuna In Water,4.23 oz,1.6,1.6
2020,PACKAGED MEAT,Pink Salmon,,1.75,1.75
2020,SHOES,Reebok- Men & Women,,49.0,49.0
2020,SHOES,Shower Shoes,,5.5,7.0
2020,SHOES,Work Boot,,25.0,25.0
2020,SNACKS,Almonds,2.25 oz,1.8,1.8
2020,SNACKS,BBQ Chips,8 oz,1.25,1.25
2020,SNACKS,EK Tortilla Chips,16 oz,1.55,1.55
2020,SNACKS,EKH Saltine Cracker,4 oz,0.35,0.35
2020,SNACKS,Jalapeno Cheese Puffs,,1.5,1.5
2020,SNACKS,Spicy Pork Skins,2.75 oz,0.95,0.95
2020,SODAS,Big Red,12 oz,0.55,0.55
2020,SODAS,EK Dr Pepper,12 oz,0.55,0.55
2020,SODAS,EKH Coke Zero,12 oz,0.55,0.55
2020,SODAS,EKH Diet Coca Cola,12 oz,0.55,0.55
2020,SODAS,Fanta Orange,12 oz,0.55,0.55
2020,SODAS,Fanta Pineapple,12 oz,0.55,0.55
2020,SODAS,KH Diet Dr. Pepper,12 oz,0.55,0.55
2020,SODAS,Mountain Dew,12 oz,0.55,0.55
2020,SODAS,Root Beer,12 oz,0.55,0.55
2021,ART SUPPLIES,Adult Coloring Book (50 pg),,4.75,4.75
2021,ART SUPPLIES,Colored Pencils,12 pk,1.55,1.55
2021,ART SUPPLIES,Drawing Pad,9x12,1.25,1.25
2021,ART SUPPLIES,Illustration Boards,2 pk,4.5,4.5
2021,ART SUPPLIES,Mini Colored Pencils,24 pk,2.5,2.5
2021,ART SUPPLIES,Protractor Ruler,,0.35,0.35
2021,ART SUPPLIES,Watercolor Pad,9x12,5.5,5.5
2021,ART SUPPLIES,Watercolor Paints,16 colors,3.85,3.85
2021,CANDY,Chick-o-Stick- .7 oz,,0.2,0.2
2021,CANDY,Cinnamon Jawbreaker,10 oz,1.55,1.55
2021,CANDY,EK Peppermint Stick,1 oz,0.1,0.1
2021,CANDY,Fruit Filled Hard Candy,22 oz,2.5,2.5
2021,CANDY,Rainbow Fruit Stick,1 oz,0.1,0.1
2021,CANDY,Sugar Free Jolly Rancher Candy,,2.6,2.6
2021,CANDY,Tootsie Pops,8 pk,0.9,0.9
2021,CANDY,Twix Candy Bar,1.79 oz,0.95,0.95
2021,CLOTHING,Boxer Shorts,,3.5,7.5
2021,CLOTHING,Cooling T-Shirts,,6.75,6.75
2021,CLOTHING,Gym Shorts,,8.0,8.0
2021,CLOTHING,Socks,,1.4,1.4
2021,CLOTHING,T-Shirts,,7.0,7.0
2021,CONDIMENTS,BBQ Sauce,18 oz,1.1,1.1
2021,CONDIMENTS,EG Mustard,14 oz,0.9,0.9
2021,CONDIMENTS,EH Cream Cheese Packet,2 oz,0.55,0.55
2021,CONDIMENTS,EK Creamy Peanut Butter,18 oz,2.4,2.4
2021,CONDIMENTS,EKH Sweetener,100 pks,0.85,0.85
2021,CONDIMENTS,Grape Jelly,12 oz,1.5,1.5
2021,CONDIMENTS,Non-Dairy Creamer,12 oz,1.55,1.55
2021,CONDIMENTS,Ranch Dressing Pack,1.5 oz,0.2,0.2
2021,CONDIMENTS,Salsa-Medium,15 oz,3.0,3.0
2021,CONDIMENTS,Salt/Pepper Shaker,4.5 oz,1.35,1.35
2021,CONDIMENTS,Sandwich Spread,15 oz,1.4,1.4
2021,CONDIMENTS,Stevia Sweetener,,1.3,1.3
2021,CONDIMENTS,Strawberry Preserves,12 oz,1.5,1.5
2021,CORRESPONDENCE,Carbon Paper,10 sheets,2.25,2.25
2021,CORRESPONDENCE,Dictionary (English),,6.0,6.0
2021,CORRESPONDENCE,Dictionary (Spanish/English),,5.25,5.25
2021,CORRESPONDENCE,Envelope-#10 Business,,0.05,0.05
2021,CORRESPONDENCE,Eraser-Pencil/Ink,,0.35,0.35
2021,CORRESPONDENCE,Folder Storage,10x15,1.35,1.35
2021,CORRESPONDENCE,Folder w/Pockets-Color,5 pk,3.25,3.25
2021,CORRESPONDENCE,Greeting Cards-Assorted,,0.4,0.4
2021,CORRESPONDENCE,Jumbo Envelope,18x23,1.2,1.2
2021,CORRESPONDENCE,Manilla Envelope-Writ,2 pk,0.52,0.52
2021,CORRESPONDENCE,"Pen-Black ""Property""",,0.3,0.3
2021,CORRESPONDENCE,Pencil Sharpener,,0.35,0.35
2021,CORRESPONDENCE,Pencil-Lead,,0.15,0.15
2021,CORRESPONDENCE,Stamps-Assorted,,0.01,7.75
2021,CORRESPONDENCE,Typing Paper,50 sheets,0.95,0.95
2021,CORRESPONDENCE,Writing Tablet 8x11,50 sht,2.25,2.25
2021,ELECTRICAL,"Adaptor-1/8""-1/4"" headphone",,1.5,1.5
2021,ELECTRICAL,Adaptor-75/300 ohm,,1.35,1.35
2021,ELECTRICAL,Alarm Clock,,6.0,6.0
2021,ELECTRICAL,ClearTech Lift Off,,0.35,0.35
2021,ELECTRICAL,Clip On Lamp-Plastic,,11.0,11.0
2021,ELECTRICAL,Coax Cable,,1.55,1.55
2021,ELECTRICAL,Dipole Antenna-FM T-Style,,2.75,2.75
2021,ELECTRICAL,Earbud-Stereo,,1.0,1.0
2021,ELECTRICAL,"Fan 9"" Electric",,20.0,20.0
2021,ELECTRICAL,GED Series Calculator,,13.5,13.5
