year,category,item_name,size,price_min,price_max
2025,CORRESPONDENCE,Mini Bound Notebk,100 sheet,3.5,3.5
2025,CORRESPONDENCE,Pastel Memo,50 sheet,2.75,2.75
2025,CORRESPONDENCE,"Pen-Black ""Property""",,0.3,0.3
2025,CORRESPONDENCE,Pencil Sharpener,,0.75,0.75
2025,CORRESPONDENCE,Pencil-Lead,,0.15,0.15
2025,CORRESPONDENCE,Stamps-Assorted,,0.01,11.0
2025,CORRESPONDENCE,Typing Paper (50 sheets),,3.5,3.5
2025,CORRESPONDENCE,Writing Tablet 8x11,50 sheet,5.25,5.25
2025,ELECTRICAL,"Adaptor-1/8""-1/4"" headphone",,1.5,1.5
2025,ELECTRICAL,Adaptor-75/300 ohm,,1.5,1.5
2025,ELECTRICAL,Alarm Clock,,7.5,7.5
2025,ELECTRICAL,Calculator TI-30xs 16 Digit,,22.0,22.0
2025,ELECTRICAL,ClearTech Lift Off,,1.35,1.35
2025,ELECTRICAL,Clip On Lamp-Plastic,,13.0,13.0
2025,ELECTRICAL,Coax Cable,,2.0,2.0
2025,ELECTRICAL,Dipole Antenna-FM T-Style,,4.25,4.25
2025,ELECTRICAL,Earbud-Stereo,,3.25,3.25
2025,ELECTRICAL,"Fan 9"" Electric",,23.0,23.0
2025,ELECTRICAL,GED Series Calculator,,13.5,13.5
2025,ELECTRICAL,Headphones,,10.0,10.0
2025,ELECTRICAL,Hot Pot w/Insert,,24.5,24.5
2025,ELECTRICAL,LED Light Bulb,,4.5,4.5
2025,ELECTRICAL,Lift Off Correction Ribbon,,2.0,2.0
2025,ELECTRICAL,Multi Outlet (2 plug),,9.0,9.0
2025,ELECTRICAL,Olympia/Clear Tech Ribbon,,5.95,5.95
2025,ELECTRICAL,Radio/Clock-Clear Tech,,20.0,20.0
2025,ELECTRICAL,Ribbon-Smith Corona H Series,,5.5,5.5
2025,ELECTRICAL,Solar Calculator,,4.5,4.5
2025,ELECTRICAL,Swintec Printwheel-Pica,,40.0,40.0
2025,ELECTRICAL,Swintec Ribbon-Black,,7.25,7.25
2025,ELECTRICAL,Typewriter-Swintec,,360.0,360.0
2025,ELECTRICAL,Watches,,22.0,22.0
2025,FEMALE ONLY,Always Pantiliners,20 ct,1.35,1.35
2025,FEMALE ONLY,Briefs/Panties,3 pk,12.0,12.0
2025,FEMALE ONLY,Exfoliating Pouch Bar Soap,,3.0,3.0
2025,FEMALE ONLY,Eyeliner/Brow Pencil-.05 oz,,5.25,5.25
2025,FEMALE ONLY,Foundation-Asst Shades,1 oz,13.0,16.0
2025,FEMALE ONLY,Hair Dryer-1600 Watts,,31.0,31.0
2025,FEMALE ONLY,Hair Relaxers,,9.5,9.5
2025,FEMALE ONLY,Hijab-Females Only,,17.0,17.0
2025,FEMALE ONLY,Hygiene Pack,7 piece,22.0,22.0
2025,FEMALE ONLY,Hygiene Pack,3 piece,9.5,9.5
2025,FEMALE ONLY,Ladies Speed Stick,1.4 oz,2.45,2.45
2025,FEMALE ONLY,Ladies Speed Stick,1.6 oz,0.9,0.9
2025,FEMALE ONLY,Lip Therapy,,2.5,2.5
2025,FEMALE ONLY,Lipstick-Asst Colors,,7.75,8.5
2025,FEMALE ONLY,Mascara-Avon/Black-.21 oz,,10.0,10.0
2025,FEMALE ONLY,Maxi Pads,22 ct,3.0,3.0
2025,FEMALE ONLY,Ogilvie Hair Perm,,23.0,23.0
